hour,PULocationID,dayofweek,demanda
2,50,6,5.1
2,68,0,3.59
2,68,1,2.55
2,68,2,1.62
2,68,3,4.17
2,68,4,5.68
2,68,5,11.7
2,68,6,15.64
2,74,1,0.35
2,74,2,0.23
2,74,3,0.23
2,74,4,0.35
2,74,5,0.58
2,74,6,1.39
2,75,0,0.46
2,75,1,0.12
2,75,2,0.46
2,75,3,0.35
2,75,4,0.12
2,75,5,0.81
2,75,6,0.93
2,79,0,5.1
2,79,1,3.36
2,79,2,4.29
2,79,3,6.03
2,79,4,14.83
2,79,5,76.25
2,79,6,72.42
2,87,1,0.12
2,87,2,0.35
2,87,3,0.23
2,87,4,1.04
2,87,5,1.85
2,87,6,1.85
2,88,0,0.23
2,88,3,0.12
2,88,4,0.46
2,88,5,0.93
2,88,6,1.27
2,90,0,2.43
2,90,1,0.46
2,90,2,2.67
2,90,3,3.01
2,90,4,5.45
2,90,5,14.95
2,90,6,14.95
2,100,0,1.39
2,100,1,1.85
2,100,2,2.09
2,100,3,1.85
2,100,4,4.17
2,100,5,6.49
2,100,6,7.07
2,107,0,1.04
2,107,1,1.04
2,107,2,0.81
2,107,3,2.67
2,107,4,2.9
2,107,5,15.76
2,107,6,19.12
2,113,0,0.81
2,113,1,0.23
2,113,2,0.7
2,113,3,0.81
2,113,4,1.85
2,113,5,8.11
2,113,6,8.0
2,114,0,2.32
2,114,1,2.09
2,114,2,2.2
2,114,3,3.13
2,114,4,9.27
2,114,5,39.75
2,114,6,42.18
2,116,2,0.12
2,116,3,0.12
2,116,6,0.23
2,125,0,0.7
2,125,2,0.35
2,125,3,1.74
2,125,4,1.51
2,125,5,4.52
2,125,6,4.29
2,137,0,1.27
2,137,1,1.04
2,137,2,0.93
2,137,3,0.81
2,137,4,1.74
2,137,5,6.84
2,137,6,6.72
2,140,0,0.35
2,140,1,0.81
2,140,2,0.46
2,140,3,0.46
2,140,4,1.74
2,140,5,1.62
2,140,6,2.67
2,141,0,1.74
2,141,1,0.46
2,141,2,1.51
2,141,3,1.85
2,141,4,1.62
2,141,5,6.26
2,141,6,8.57
2,142,0,0.81
2,142,1,0.93
2,142,2,0.7
2,142,3,0.7
2,142,4,1.16
2,142,5,2.55
2,142,6,4.06
2,143,0,0.12
2,143,1,0.35
2,143,2,0.23
2,143,3,0.12
2,143,4,0.35
2,143,5,1.04
2,143,6,1.16
2,144,0,0.58
2,144,1,0.35
2,144,2,0.46
2,144,3,1.04
2,144,4,5.56
2,144,5,16.69
2,144,6,18.42
2,148,0,1.74
2,148,1,1.74
2,148,2,1.85
2,148,3,4.63
2,148,4,12.86
2,148,5,56.66
2,148,6,58.29
2,151,0,0.23
2,151,1,0.35
2,151,2,0.12
2,151,4,0.23
2,151,5,0.7
2,151,6,0.93
2,152,4,0.12
2,152,5,0.35
2,158,0,1.04
2,158,1,0.7
2,158,2,0.93
2,158,3,1.97
2,158,4,4.52
2,158,5,14.37
2,158,6,20.28
2,161,0,0.93
2,161,1,1.27
2,161,2,1.04
2,161,3,1.62
2,161,4,2.43
2,161,5,3.01
2,161,6,3.24
2,162,0,0.93
2,162,1,0.7
2,162,2,1.27
2,162,3,2.32
2,162,4,2.78
2,162,5,5.33
2,162,6,6.03
2,163,0,0.7
2,163,1,0.46
2,163,2,2.32
2,163,3,2.2
2,163,4,3.59
2,163,5,8.0
2,163,6,8.0
2,164,0,1.39
2,164,1,2.78
2,164,2,1.97
2,164,3,3.82
2,164,4,5.56
2,164,5,12.17
2,164,6,13.56
2,166,0,0.12
2,166,1,0.35
2,166,3,0.12
2,166,4,0.35
2,166,5,0.7
2,166,6,0.93
2,170,0,1.04
2,170,1,1.16
2,170,2,1.51
2,170,3,1.97
2,170,4,3.24
2,170,5,9.27
2,170,6,7.88
2,186,0,4.75
2,186,1,3.13
2,186,2,2.2
2,186,3,2.78
2,186,4,4.63
2,186,5,8.69
2,186,6,8.92
2,209,3,0.23
2,209,4,0.35
2,209,5,0.58
2,209,6,0.81
2,211,0,0.7
2,211,1,0.35
2,211,2,0.35
2,211,3,1.16
2,211,4,3.24
2,211,5,9.62
2,211,6,12.86
2,224,4,0.35
2,224,5,0.58
2,224,6,1.04
2,229,0,1.16
2,229,1,0.93
2,229,2,1.39
2,229,3,1.85
2,229,4,2.32
2,229,5,5.1
2,229,6,5.1
2,230,0,3.71
2,230,1,2.9
2,230,2,3.48
2,230,3,4.63
2,230,4,9.27
2,230,5,12.4
2,230,6,9.97
2,231,0,0.46
2,231,1,0.46
2,231,2,1.51
2,231,3,2.78
2,231,4,5.45
2,231,5,11.24
2,231,6,11.01
2,232,0,0.12
2,232,1,0.12
2,232,2,0.12
2,232,3,0.23
2,232,4,0.58
2,232,5,2.78
2,232,6,2.32
2,233,0,0.58
2,233,1,0.35
2,233,2,0.58
2,233,3,0.7
2,233,4,1.39
2,233,5,3.59
2,233,6,2.09
2,234,0,0.93
2,234,1,0.58
2,234,2,0.93
2,234,3,2.09
2,234,4,2.78
2,234,5,15.06
2,234,6,12.98
2,236,0,0.46
2,236,1,0.23
2,236,2,0.46
2,236,3,0.58
2,236,4,0.93
2,236,5,1.04
2,236,6,1.74
2,237,0,0.35
2,237,1,0.7
2,237,2,0.23
2,237,3,1.27
2,237,4,1.74
2,237,5,2.78
2,237,6,4.17
2,238,0,0.12
2,238,1,0.58
2,238,2,0.35
2,238,3,0.46
2,238,4,0.93
2,238,5,1.51
2,238,6,1.39
2,239,0,0.46
2,239,1,0.35
2,239,2,0.7
2,239,3,1.27
2,239,4,0.58
2,239,5,3.36
2,239,6,3.94
2,243,3,0.12
2,243,5,0.12
2,244,0,0.12
2,244,1,0.12
2,244,2,0.12
2,244,4,0.12
2,244,5,0.12
2,244,6,0.35
2,246,0,3.82
2,246,1,0.93
2,246,2,2.2
2,246,3,6.84
2,246,4,6.03
2,246,5,14.72
2,246,6,16.11
2,249,0,6.6
2,249,1,4.52
2,249,2,5.1
2,249,3,6.26
2,249,4,12.86
2,249,5,42.53
2,249,6,44.61
2,261,0,0.35
2,261,1,0.23
2,261,2,0.12
2,261,4,0.23
2,261,5,0.93
2,261,6,1.51
2,262,0,0.12
2,262,1,0.12
2,262,2,0.23
2,262,3,0.23
2,262,5,1.04
2,262,6,0.7
2,263,0,1.74
2,263,1,1.16
2,263,2,1.16
2,263,3,1.62
2,263,4,2.9
2,263,5,7.88
2,263,6,7.53
3,4,0,0.12
3,4,1,0.12
3,4,4,0.35
3,4,5,4.98
3,4,6,5.21
3,12,6,0.12
3,13,4,0.12
3,24,0,0.12
3,24,1,0.12
3,24,2,0.12
3,24,4,0.12
3,24,5,0.46
3,24,6,0.12
3,41,0,0.12
3,41,2,0.23
3,41,4,0.12
3,41,5,0.12
3,41,6,0.23
3,42,0,0.35
3,42,2,0.12
3,42,3,0.12
3,42,4,0.35
3,42,5,0.23
3,42,6,0.23
3,43,0,0.12
3,43,3,0.23
3,43,4,0.12
3,43,5,0.35
3,43,6,0.23
3,45,5,0.93
3,45,6,1.27
3,48,0,5.33
3,48,1,2.09
3,48,2,3.24
3,48,3,3.71
3,48,4,7.76
3,48,5,18.08
3,48,6,20.63
3,50,0,0.46
3,50,1,0.23
3,50,2,0.12
3,50,3,0.46
3,50,4,0.58
3,50,5,3.48
3,50,6,3.82
3,68,0,1.85
3,68,1,1.62
3,68,2,0.7
3,68,3,3.48
3,68,4,5.1
3,68,5,10.89
3,68,6,13.33
3,74,0,0.23
3,74,2,0.23
3,74,4,0.12
3,74,5,0.23
3,74,6,0.7
3,75,0,0.35
3,75,1,0.12
3,75,3,0.12
3,75,4,0.46
3,75,5,0.23
3,75,6,0.12
3,79,0,3.59
3,79,1,2.32
3,79,2,1.85
3,79,3,2.32
3,79,4,10.89
3,79,5,47.39
3,79,6,49.02
3,87,1,0.12
3,87,2,0.12
3,87,3,0.23
3,87,5,1.04
3,87,6,1.39
3,88,4,0.23
3,88,5,0.12
3,88,6,0.7
3,90,0,1.16
3,90,1,0.46
3,90,2,1.16
3,90,3,1.16
3,90,4,2.67
3,90,5,8.34
3,90,6,8.92
3,100,0,0.58
3,100,1,0.7
3,100,2,1.62
3,100,3,1.27
3,100,4,1.16
3,100,5,4.98
3,100,6,4.87
3,107,0,0.58
3,107,1,0.7
3,107,2,1.27
3,107,3,1.39
3,107,4,2.78
3,107,5,8.34
3,107,6,10.31
3,113,0,0.35
3,113,2,0.81
3,113,3,0.46
3,113,4,0.93
3,113,5,3.82
3,113,6,5.21
3,114,0,1.04
3,114,1,0.7
3,114,2,0.58
3,114,3,1.51
3,114,4,2.55
3,114,5,19.47
3,114,6,24.1
3,116,4,0.12
3,116,5,0.35
3,116,6,0.23
3,125,0,0.46
3,125,1,0.12
3,125,2,0.23
3,125,3,0.7
3,125,4,1.85
3,125,5,3.48
3,125,6,5.79
3,127,6,0.12
3,137,0,0.7
3,137,1,0.35
3,137,2,0.93
3,137,3,0.81
3,137,4,1.39
3,137,5,4.17
3,137,6,5.1
3,140,0,0.46
3,140,1,0.12
3,140,2,0.46
3,140,3,0.93
3,140,4,1.16
3,140,5,1.27
3,140,6,1.39
3,141,0,1.27
3,141,1,1.16
3,141,2,1.16
3,141,3,1.16
3,141,4,2.67
3,141,5,4.29
3,141,6,4.4
3,142,0,0.35
3,142,1,0.12
3,142,2,0.23
3,142,3,0.46
3,142,4,0.35
3,142,5,2.32
3,142,6,2.32
3,143,2,0.12
3,143,3,0.35
3,143,4,0.35
3,143,5,0.35
3,143,6,0.58
3,144,0,0.23
3,144,1,0.12
3,144,2,0.12
3,144,3,0.35
3,144,4,3.59
3,144,5,14.14
3,144,6,12.17
3,148,0,1.04
3,148,1,0.58
3,148,2,1.51
3,148,3,3.71
3,148,4,6.84
3,148,5,39.28
3,148,6,39.86
3,151,0,0.12
3,151,1,0.35
3,151,2,0.35
3,151,3,0.23
3,151,5,0.12
3,151,6,0.23
3,152,3,0.12
3,158,0,0.93
3,158,1,0.58
3,158,2,1.16
3,158,3,2.2
3,158,4,2.2
3,158,5,6.72
3,158,6,11.12
3,161,0,1.27
3,161,1,0.93
3,161,2,0.81
3,161,3,0.81
3,161,4,1.27
3,161,5,2.55
3,161,6,3.24
3,162,0,0.58
3,162,1,0.93
3,162,2,0.93
3,162,3,1.27
3,162,4,1.85
3,162,5,2.67
3,162,6,2.78
3,163,0,0.93
3,163,1,0.12
3,163,2,1.16
3,163,3,1.39
3,163,4,2.55
3,163,5,4.17
3,163,6,5.91
3,164,0,0.93
3,164,1,1.16
3,164,2,1.51
3,164,3,2.09
3,164,4,3.24
3,164,5,9.5
3,164,6,10.89
3,166,1,0.23
3,166,2,0.23
3,166,4,0.23
3,166,6,0.93
3,170,0,0.7
3,170,1,0.81
3,170,2,0.81
3,170,3,1.74
3,170,4,1.27
3,170,5,4.29
3,170,6,5.79
3,186,0,3.01
3,186,1,0.58
3,186,2,1.51
3,186,3,1.62
3,186,4,2.32
3,186,5,5.21
